Abstract,PMID,Title,term_one,term_two
"Antiseizure drugs (ASDs) are known to cause a wide range of adverse drug reactions (ADRs). Recently, electronic health care data using the common data model (CDM) have been introduced and commonly adopted in pharmacovigilance research. We aimed to analyze ASD-related ADRs using CDM and to assess the feasibility of CDM analysis in monitoring ADR in a single tertiary hospital.",32162687,Analysis of antiseizure drug-related adverse reactions from the electronic health record using the common data model.,1,0
"The results of national safety studies are essential for decision-making at the regulatory level and have also educational implications for prescribing patterns. The aim of this study was to analyze the adverse drug reactions (ADRs) of analgesic medicines spontaneously reported to Pharmacovigilance and Risk Management Service of the Romanian National Agency for Medicines and Medical Devices between 2011 and 2015. For the 71 reports, patients had a mean age of 39.8 years; 60.6% of patients were female, and 38% male and 1.4% were unknown. Reporters were mainly physicians (74.7%), and 52.1% of ADR reports were transmitted through marketing authorization holders. Of the serious ADRs (32.4%), 34.7% led to hospitalization or prolonged hospitalization. The most frequent ADRs reported were skin and subcutaneous tissue disorders (25.8%) and general disorders and administration site conditions (19.2%). Metamizole, alone or in combination, was the main analgesic suspected in almost 15.5% of the cases and remains one of the most popular analgesics in Romania. Ten cases were assessed as preventable or potentially preventable (14%), of which two cases were serious. Even if the level of reporting is still low, this study conducted on ADRs of analgesics reported to the national pharmacovigilance center represents an essential step toward promoting the rational use of analgesics in Romania.",29314262,Adverse drug reactions of analgesic medicines: analysis of the Romanian pharmacovigilance database.,1,0
"The epidemiological data are limited for the spontaneous adverse drug reaction (ADR) reporting system in psychiatry and its comparison with intensive monitoring studies in terms of causative drugs, seriousness, preventability and drug interactions. This spontaneous ADR reporting study was carried out over a period of three years in the psychiatry department. We adopted WHO definition for an ADR, Naranjo's algorithm for causality, WHO-ADR terminology for the labeling of involved organ-system, International conference on harmonisation (ICH) E2A guidelines for seriousness, modified Schumock and Thornton's criteria for preventability and Medscape drug interaction checker for drug interactions. Two subgroup analyses were performed to find out the risk factors for the serious and preventable reactions. A total of 97 ADRs from 67 patients were included for analysis. The incidence of 'overall' and 'serious ADRs were 0.69% (95% CI: 0.54%, 0.88%) and 0.18% (95% CI: 0.12-0.29%), respectively. The females experienced more ADRs than males. The most commonly reported ADR, incriminated pharmacology group and drug, were extrapyramidal movement disorders (22.68%), atypical antipsychotics (35.62%) and escitalopram (13.91%), respectively. One out of five and one out three reactions were considered as 'serious' and 'preventable', respectively. The drug interactions contributed in 34.02% reactions. The factors significantly associated with 'serious' reactions were typical antipsychotics [OR: 5.47 (1.68, 17.87)], central and peripheral nervous system disorders [OR: 24.00 (5.12, 112.5)] and extrapyramidal reactions [OR: 14.03 (4.43, 44.43)]. The polypharmacy [OR: 5.85 (1.90, 18.03)] was significantly associated with 'preventable' reactions. The spontaneous reporting system is efficient to detect serious reactions and preventable reactions. ",26216702,Adverse drug reactions in a psychiatric department of tertiary care teaching hospital in India: Analysis of spontaneously reported cases.,1,0
"Adverse drug reactions (ADRs) are common and important complications of drug therapy for children. The risk for ADRs changes over childhood, as do the nature and types of ADRs. Importantly, the risk and nature of ADRs in children are markedly different from those of adults, and adult data cannot be relied on to guide safe drug therapy in children. There are groups of children, notably those with complex and chronic diseases, who are at substantial risk for ADRs. The evaluation of an undesired effect during therapy is ideally accomplished by an organized approach that is a skill that clinicians who care for children-especially those children at high risk for ADRs must have. Additionally, clinicians as well as drug regulatory agencies and industry need to be both vigilant and astute as well as aware that ADRs in children are often different in nature and frequency from those in adults. The increasing use of pharmacogenomics to guide drug dosing and the increasing number of biological agents will provide new sets of challenges to clinicians over the next decade.",30248196,"Adverse Drug Reactions Across the Age Continuum: Epidemiology, Diagnostic Challenges, Prevention, and Treatments.",1,0
"<b>Objective:</b> Cardiovascular disease (CVD) drugs have been frequently implicated in adverse drug reaction (ADR)-related hospitalizations. Drug-drug interactions (DDIs) are common preventable cause of ADRs, but the impact of DDIs in the CVD population has not been investigated. Hence, the primary aim of the study was to identify DDIs associated with ADRs in CVD patients at hospital admission. The second aim was to develop a simple tool to identify high-risk patients for DDI-related adverse events. <b>Methods:</b> An observational study was conducted on the Cardiology Ward of University Clinical Hospital Center. Data were obtained from medical charts. A clinical panel identified DDIs implicated in ADRs, using LexiInteract database and Drug Interaction Probability Scale. Statistics were performed using PASW 22 (SPSS Inc.). <b>Results:</b> DDIs contributed to hospital admission with a total prevalence of 9.69%. DDI-related ADRs affected mainly cardiac function (heart rate or rhythm, 41.07%); bleeding and effect on blood pressure were equally distributed (17.86%). Non-cardiovascular ADRs were found in 23.21% of DDIs. After admission, 73% of the identified DDIs led to changes in prescription. Prediction ability of calculated DDI adverse event probability scores was rated as good (AUC = 0.80, <i>p</i> < .001). <b>Conclusions:</b> CVD patients are highly exposed to adverse DDIs; about one in ten patients hospitalized with CVD might have a DDI contributing to the hospitalization. Given the high prevalence of CVD, DDI-related harm might be a significant burden worldwide. Identification of patients with high DDI adverse event risk might ease the recognition of DDI-related harm and improve the use of electronic databases in clinical practice.",31328967,Adverse drug reactions caused by drug-drug interactions in cardiovascular disease patients: introduction of a simple prediction tool using electronic screening database items.,1,0
"Asthenia, myalgia, arthralgia, mucositis, abdominal pain, diarrhea, and neutropenia are adverse reactions commonly reported by women undergoing chemotherapy. Traditional approaches do not take into account the effect that chemotherapeutic changes and variable interactions can cause in adverse reactions. We aimed to identify the impact of the change of a chemotherapy protocol within the same treatment in profiles associated with adverse reactions.",31056713,Impact of protocol change on individual factors related to course of adverse reactions to chemotherapy for breast cancer.,1,0
"Our goal was to determine (a) the prevalence of multimorbidity and polypharmacy in patients with cancer and (b) the prevalence, predictability, and preventability of adverse drug reactions (ADRs) causing/contributing to hospitalization.",30833488,"Adverse Drug Reactions in an Oncological Population: Prevalence, Predictability, and Preventability.",1,0
"Hypersensitivity adverse drug reactions (ADRs) are usually serious, unpredictable, and associated with high morbidity and mortality. This study describes cases of hypersensitivity ADRs spontaneously reported in Central Portugal.",32167395,Spontaneous reports of hypersensitivity adverse drug reactions in Portugal: a retrospective analysis.,1,0
"Annually, thousands of individuals die and tens of thousands are hospitalized in association with suspected adverse drug reactions (ADRs) in Canada. We analyzed the reports from the Canada Vigilance Adverse Reaction online database and present a synopsis of the state of ADRs in Canada between 2009 and 2018. Our synopsis includes both cross-sectional and longitudinal insights into ADR demographics, outcomes, associated drugs and disease indications. In closing, we highlight five overarching issues uncovered in our analysis, which have potential implications for future policy formulation. Further in-depth exploration is required to shine some additional light on these issues.",32249738,Adverse Drug Reactions in Canada (2009-2018): Insights from the Canada Vigilance Database.,1,0
"<b>Background</b> There are different treatment options for ocular toxoplasmosis (OT). ""Classic"" therapy consists of pyrimethamine, sulfadiazine and folinic acid combined with systemic steroids and is still widely used. However, potentially severe side effects of this therapy have been reported. The aim of this retrospective study was to evaluate the incidence and types of adverse drug reactions in patients treated for OT. Clinical management of each adverse drug reaction was assessed. <b>Patients and Methods</b> In this retrospective analysis, we reviewed data of patients with OT, who were consecutively examined between December 2011 and December 2015 at the Department of Ophthalmology, University Hospital Zurich. <b>Results</b> In total, 49 patients had at least one episode of active OT. In 54 (83.0 %) of 65 treated episodes, the classic regimen was used. Of the 37 patients who received classic treatment, 9 (24.3 %) developed at least one adverse drug reaction which led to drug discontinuation, including elevated creatinine (5.4 %), elevated liver enzymes (5.4 %), vomiting (5.4 %), rash (5.4 %) and facial swelling (2.7 %). In 5 patients, treatment was switched to another drug, while in the other 4 patients, therapy was stopped. In these 9 patients, inflammation was well controlled 8 weeks after onset of therapy. No patient suffered from severe side effects, such as potentially life-threatening allergic reactions or pancytopenia. <b>Conclusions</b> In OT patients who were treated with classic therapy, adverse drug reactions are common. Therefore, clinical and laboratory monitoring is mandatory. Adverse drug reactions may require interdisciplinary management.",28329892,Ocular Toxoplasmosis: Therapy-Related Adverse Drug Reactions and Their Management.,1,0
"This work aims at extracting Adverse Drug Reactions (ADRs), i.e. a harm directly caused by a drug at normal doses, from Electronic Health Records (EHRs). The lack of readily available EHRs because of confidentiality issues and their lexical variability make the ADR extraction challenging. Furthermore, ADRs are rare events. Therefore, efficient representations against data sparsity are needed.",31160010,Smoothing dense spaces for improved relation extraction between drugs and adverse reactions.,1,0
".Fluoroquinolones are a kind of synthetic drugs commonly used in clinical treatment. They have good broad-spectrum antimicrobial properties. They are not only convenient to administer, but also have remarkable therapeutic effects. In this paper, we selected 70 patients with adverse reactions of central nervous system during the use of fluoroquinolones as the research object. We reviewed and analyzed the basic data, main manifestations and outcomes of adverse reactions, and summarized the influencing factors. The results showed that dizziness, irritability and insomnia were the main symptoms in 42 patients with mild adverse reactions. In 28 patients with moderate to severe adverse reactions, neuropsychiatric symptoms such as restlessness, depression, nervous excitation, phonism and hallucination were found. 54 patients were able to recover after stopping the medication. The remaining 16 patients were treated with drugs, and the effective rate was 87.5%. By analyzing the related factors, it can be seen that elderly patients over 60 years old, intravenous administration, combination of drugs and past history of neurological diseases are the main factors leading to adverse reactions of the central nervous system. In this survey, there were 7 kinds of adverse drug reactions, of which 31 cases (44.28%) were caused by levofloxacin. Therefore, fluoroquinolones have adverse effects on the central nervous system in the course of treatment, and the occurrence of adverse reactions is related to patients' age, route of administration, drug combination and past history of illness. It is important to grasp the above factors and make rational use of drugs.",30852480,Adverse reactions of fluoroquinolones to central nervous system and rational drug use in nursing care.,1,0
This study was conducted to assess the adverse reactions caused by multi-target tyrosine kinase inhibitor treatment of gastrointestinal tumors.,29575544,"Adverse reactions of sorafenib, sunitinib, and imatinib in treating digestive system tumors.",1,0
"Adverse drug reactions (ADRs) are one of the common causes of morbidity and mortality. Renal insufficiency is considered as one of the risk factors for the development of ADR. The study determined the occurrence of ADRs in patients with renal failure and their incidence of hospital admission. The study also evaluated the nature and severity of ADRs. This was a prospective study conducted in the nephrology unit at a tertiary care teaching hospital for a period of nine months. Patients receiving regular hemodialysis and those either referred or admitted to the nephrology ward were included. ADRs were intensively monitored throughout the study. The causality of suspected ADRs was assessed with the WHO probability scale, Naranjo algorithm, and Karch and Lasagna's scale. The predictability and preventability of ADRs were also determined. A total of 45 ADRs were identified in 369 patients; incidence was 12.19%. Nine ADRs (20%) needed hospitalization. A total of 27 (60%) and 17 (37.8%) ADRs were found to be probable and possible, respectively when assessed by the WHO probability scale. On the contrary, 33 (73.3%) and 26 (57.8%) ADRs were possible in causality when assessed by Karch and Lasagna's scale and Naranjo scale, respectively. Most of the ADRs [26 (57.8%)] were predictable in nature. A wide range of ADRs was noticed in patients with renal impairment, and our study has systematically assessed the nature and severity of ADRs.",31696846,Intensive monitoring of adverse drug reactions in nephrology unit of tertiary care teaching hospital.,1,0
"Targeted anticancer drugs such as imatinib, trastuzumab and erlotinib dramatically improved treatment outcomes in cancer patients, however, these innovative agents are often associated with unexpected side effects. The pathophysiological mechanisms underlying these side effects are not well understood. The availability of a comprehensive knowledge base of side effects associated with targeted anticancer drugs has the potential to illuminate complex pathways underlying toxicities induced by these innovative drugs. While side effect association knowledge for targeted drugs exists in multiple heterogeneous data sources, published full-text oncological articles represent an important source of pivotal, investigational, and even failed trials in a variety of patient populations. In this study, we present an automatic process to extract targeted anticancer drug-associated side effects (drug-SE pairs) from a large number of high profile full-text oncological articles. We downloaded 13,855 full-text articles from the Journal of Oncology (JCO) published between 1983 and 2013. We developed text classification, relationship extraction, signaling filtering, and signal prioritization algorithms to extract drug-SE pairs from downloaded articles. We extracted a total of 26,264 drug-SE pairs with an average precision of 0.405, a recall of 0.899, and an F1 score of 0.465. We show that side effect knowledge from JCO articles is largely complementary to that from the US Food and Drug Administration (FDA) drug labels. Through integrative correlation analysis, we show that targeted drug-associated side effects positively correlate with their gene targets and disease indications. In conclusion, this unique database that we built from a large number of high-profile oncological articles could facilitate the development of computational models to understand toxic effects associated with targeted anticancer drugs. ",25817969,Large-scale automatic extraction of side effects associated with targeted anticancer drugs from full-text oncological articles.,1,0
"An adverse drug reaction (ADR) is defined as a response to a medicinal product which is noxious and unintended. ADRs are an important cause of morbidity and mortality and increase health costs. The pharmacovigilance systems allow the identification and prevention of the risks associated with use of a drug, especially of recently marketed drugs; they detect signals from data of the global ADR register and also support decisions taken by regulatory agencies in different countries. Only a few drugs are withdrawn from the market, mainly due to hepatotoxicity. Spontaneous notification of ADR is the cheapest, simplest and most used method to recognize new safety drug problems, under-reporting being its main limitation. The future of pharmacovigilance and ADRs will include a higher involvement of patients, doctors, health authorities and pharmaceutical companies, and the use of new technologies.",31771857,Adverse drug reactions.,1,0
"In Pediatrics, adverse drug reactions (ADRs) affect morbidity and mortality. In Mexico, the characteristics of ADRs and suspect drugs have not been described in hospitalized children.",32208451,Descriptive study of adverse drug reactions in a tertiary care pediatric hospital in México from 2014 to 2017.,1,0
Many medications used to manage multiple sclerosis (MS) affect oral health. This review aimed to identify the oral side-effects of the current drugs recommended in Australia to treat MS and make dental practitioners aware of the range of symptoms.,28276076,Managing the oral side-effects of medications used to treat multiple sclerosis.,1,0
"Adverse drug reaction (ADR) is a leading but under-recognised cause of illness, particularly in frail subjects with multiple comorbidities.",29740921,Hospitalisation and morbidity due to adverse drug reactions in elderly patients: a single-centre study.,1,0
"Perampanel (PER) is a new-generation antiepileptic drug that has an occasional but significant shortcoming, psychiatric adverse effects (PAEs). Recently, antiepileptic drug-related adverse reactions, such as skin rash and even PAEs, have been discovered to be correlated with certain human leukocyte antigen (HLA) types. Thus, we aimed to analyze specific HLA alleles as risk factors for PER-PAEs. We prospectively enrolled 17 patients with epilepsy who were prescribed PER between May 2016 and Jul 2018 at Seoul National University Hospital and developed PAEs while taking PER. Their HLA types were analyzed compared to those of 19 patients in the PAE-tolerant group and the general Korean population. In silico docking was performed with two different computational programs, AutoDock Vina and SwissDock, to theoretically evaluate the binding affinity of PER in the grooves of the specific HLA alleles. The HLA-DQB1*06:01, DRB1*08:03, and B*54:01 alleles were significantly associated with the patients who developed PER-PAEs compared with the general Korean population (odds ratio [OR] 3.94, p = 0.008, OR 9.24, p = 0.037, and OR 3.25, p = 0.041, respectively). As a haplotype, the combination of the three alleles was significantly more frequent in the PER-PAE group than in both the PER-tolerant group and the general Korean population. DQB1*06:01 and B*54:01 also demonstrated higher docking scores with PER than other alleles. This is the first study to analyze the association of PER-PAEs with specific HLA genotypes. Our results suggest that an HLA-associated genetic predisposition and a possible immunological mechanism are involved in the occurrence of PER-PAEs.",32788606,HLAs associated with perampanel-induced psychiatric adverse effects in a Korean population.,1,0
"The main objective of the current study is to examine the trend of congenital abnormalities among children born by women with and without diabetes, and to explore the impact of food fortification by folic acid on the rate of birth defects among these two groups of mothers.",27511615,"Congenital abnormalities in newborns of women with pregestational diabetes: A time-trend analysis, 1994 to 2009.",0,1
"Maternal diabetes can lead to pregnancy complications and impaired fetal development. The goal of this study was to use a mouse model of reciprocal embryo transfer to distinguish between the preconception and gestational effects of diabetes. To induce diabetes female mice were injected with a single high dose of streptozotocin and 3 weeks thereafter used as oocyte donors for in vitro fertilization (IVF) and as recipients for embryo transfer. Following IVF embryos were cultured to the blastocyst stage in vitro or transferred to diabetic and non-diabetic recipients. Diabetic and non-diabetic females did not differ in regard to the number of oocytes obtained after ovarian stimulation, oocytes ability to become fertilized, and embryo development in vitro. However, diabetic females displayed impaired responsiveness to superovulation. Reciprocal embryo transfer resulted in similar incidence of live fetuses and abortions, and no changes in placental size. However, fetuses carried by diabetic recipients were smaller compared to those carried by non-diabetic recipients, regardless hyperglycemia status of oocyte donors. Congenital abnormalities were observed only among the fetuses carried by diabetic recipients. The findings support that the diabetic status during pregnancy, and not the preconception effect of diabetes on oogenesis, leads to fetal growth restriction and congenital deformities.",32703993,"Pregnancy environment, and not preconception, leads to fetal growth restriction and congenital abnormalities associated with diabetes.",0,1
To analyze the possible association of maternal age with the risk of all congenital abnormalities (CAs) in a population-based large case-matched control data set.,24766076,Association of young and advanced age of pregnant women with the risk of isolated congenital abnormalities in Hungary - a population-based case-matched control study.,0,1
"Human pesticide exposure can occur both occupationally and environmentally during manufacture and after the application of indoor and outdoor pesticides, as well as through consumption via residues in food and water. There is evidence from experimental studies that numerous pesticides, either in isolation or in combination, act as endocrine disruptors, neurodevelopmental toxicants, immunotoxicants, and carcinogens. We reviewed the international literature on this subject for the years between 1990 and 2017. The studies were considered in this review through MEDLINE and WHO resources. Out of the n = 1817 studies identified, n = 94 were reviewed because they fulfilled criteria of validity and addressed associations of interest. Epidemiological studies have provided limited evidence linking pre- and post-natal exposure to pesticides with cancers in childhood, neurological deficits, fetal death, intrauterine growth restriction, preterm birth, and congenital abnormalities (CAs). In this review, the potential association between pesticide exposure and the appearance of some human CAs (including among others musculoskeletal abnormalities; neural tube defects; urogenital and cardiovascular abnormalities) was investigated. A trend towards a positive association between environmental or occupational exposure to some pesticides and some CAs was detected, but this association remains to be substantiated. Main limitations of the review include inadequate exposure assessment and limited sample size. Adequately powered studies with precise exposure assessments such as biomonitoring, are warranted to clarify with certainty the potential association between pesticide exposure and human CAs.",29596925,Association of pesticide exposure with human congenital abnormalities.,0,1
"To explore the association of polymorphisms in folate metabolism genes, methionine synthase reductase (MTRR) gene and 5,10-methylenetetrahydrofolate reductase (MTHFR) gene, with complex congenital abnormalities and to further investigate its association with complex congenital abnormalities derived from three germ layers.",25140779,"[Association of folate metabolism genes MTRR and MTHFR with complex congenital abnormalities among Chinese population in Shanxi Province, China].",0,1
This study investigated the association between pesticide exposure in Brazil (2005-2013) with rates of central nervous system (CNS) and cardiovascular system (CVS) congenital abnormalities in 2014.,28877591,Positive correlation between pesticide sales and central nervous system and cardiovascular congenital abnormalities in Brazil.,0,1
"Here we report the first male case of a novel Xq22.1 deletion. An 8-week-old boy with multiple congenital abnormalities and respiratory failure was referred to the Mayo Clinic Cytogenetics laboratory for testing. Chromosomal microarray analysis identified a novel 1.1 Mb deletion at Xq22.1. A similar deletion has only been described once in the literature in a female patient and her mother; both have intellectual disability and dysmorphic facial features. In addition, the mother had a son who died at 15 days due to breathing failure. Recently, a mouse model revealed that a 0.35 Mb sub-region, containing 4 genes, is sufficient to cause majority of the Xq22.1 deletion phenotypes. The deleted intervals in our male patient and the female patients contain 15 common genes, including the four described in the 0.35 Mb sub-region. Male mice with deletion of the 0.35 Mb sub-region died perinatally from respiratory failure due to pulmonary hypoplasia, consistent with the breathing problem and potential neonatal fatality in male patients. The phenotypes of the mouse models and the patients are strikingly similar; therefore, the deletion of these five genes (ARMCX5, ARMCX5-GPRASP2, GPRASP1, GPRASP2, and BHLHB9) is likely responsible for the novel Xq22.1 deletion syndrome. ",26995686,A novel Xq22.1 deletion in a male with multiple congenital abnormalities and respiratory failure.,0,1
To determine the sensitivity and specificity of post-mortem ultrasound in the diagnosis of major congenital abnormalities of fetuses using conventional autopsy as the standard of reference.,29229509,Diagnosis of congenital abnormalities with post-mortem ultrasound in perinatal death.,0,1
"Congenital abnormalities of the optic disc are not uncommon in clinical practice and should be recognized. Size abnormalities of the optic disc include optic disc aplasia, hypoplasia, megalopapilla, and optic disc cupping in prematurity. Among congenital excavations of the optic disc head, morning glory disc anomaly and optic disc pit can be complicated by serous retinal detachment; the papillorenal disc is an association of bilateral optic disc cupping and renal hypoplasia which should be ruled out; optic disc coloboma is caused by an abnormal closure of the embryonic fissure and can be complicated by choroidal neovascularization and retinal detachment. Other abnormalities that will be discussed are congenital tilted disc syndrome, duplicity of the optic disc head, congenital pigmentation of the optic disc head and myelinated retinal nerve fibers. All of these abnormalities can be associated with syndromes and neurological diseases, as well as other potentially blinding ophthalmological defects which can be secondarily complicated by amblyopia, strabismus and nystagmus. Thus, they should be recognized in order to plan for appropriate follow-up.",30935696,[Congenital abnormalities of the optic disc].,0,1
"Congenital abnormalities constitute one of the major causes of infant mortality, particularly in developing countries. The aim of this study was to describe the epidemiology of congenital anomalies in Cote d'Ivoire.",25659551,Epidemiology of congenital abnormalities in West Africa: Results of a descriptive study in teaching hospitals in Abidjan: Cote d'Ivoire.,0,1
To investigate the association of pre-eclampsia (PE) or PE with superimposed chronic hypertension (PE+SCH) in pregnant women with the risk of various structural birth defects (i.e. congenital abnormalities) in their offspring.,22504080,Association of pre-eclampsia with or without superimposed chronic hypertension in pregnant women with the risk of congenital abnormalities in their offspring: a population-based case-control study.,0,1
"There is increasing evidence that maternal obesity is associated with several structural birth defects. Congenital abnormalities of the kidney and urinary tract (CAKUT) account for 30 to 50% of children starting kidney replacement therapy (KRT). We conducted a systematic review, meta-analysis and ecological study to explore the relationship between maternal obesity and CAKUT.",32596798,"Pre-pregnancy obesity and risk of congenital abnormalities of the kidney and urinary tract (CAKUT)-systematic review, meta-analysis and ecological study.",0,1
"<i>Background.</i> With the introduction of three-dimensional (3D) ultrasound it has become possible to measure volumes. The relative increase in embryonic volume (EV) is much larger than that of the crown-rump length (CRL) over the same time period. We examined whether EV is a better parameter to determine growth restriction in fetuses with structural congenital abnormalities. <i>Study Design, Subjects, and Outcome Measures.</i> CRL and EV were measured using a Virtual Reality (VR) system in prospectively collected 3D ultrasound volumes of 56 fetuses diagnosed with structural congenital abnormalities in the first trimester of pregnancy (gestational age 7<sup>+5</sup> to 14<sup>+5</sup> weeks). Measured CRL and EV were converted to <i>z</i>-scores and to percentages of the expected mean using previously published reference curves of euploid fetuses. The one-sample <i>t</i>-test was performed to test significance. <i>Results.</i> The EV was smaller than expected for GA in fetuses with structural congenital abnormalities (-35%  <i>p</i> < 0.001, <i>z</i>-score -1.44  <i>p</i> < 0.001), whereas CRL was not (-6.43%  <i>p</i> = 0.118, <i>z</i>-score -0.43  <i>p</i> = 0.605). <i>Conclusions.</i> CRL is a less reliable parameter to determine growth restriction in fetuses with structural congenital abnormalities as compared with EV. By measuring EV, growth restriction in first-trimester fetuses with structural congenital abnormalities becomes more evident and enables an earlier detection of these cases.",28421190,First-Trimester Crown-Rump Length and Embryonic Volume of Fetuses with Structural Congenital Abnormalities Measured in Virtual Reality: An Observational Study.,0,1
"Beckwith-Wiedemann Syndrome (BWS) and familial adenomatous polyposis (FAP) are known to predispose to hepatoblastoma (HB). A case-control study was conducted through the Children's Oncology Group (COG) to study the association of HB with isolated congenital abnormalities. Cases (N = 383) were diagnosed between 2000 and 2008. Controls (N = 387) were recruited from state birth registries, frequency matched for sex, region, year of birth, and birth weight. Data on congenital abnormalities among subjects and covariates were obtained by maternal telephone interview. Odds ratios (OR) and 95% confidence intervals (CI) describing the association between congenital abnormalities with HB, adjusted for sex, birth weight, maternal age and maternal education, were calculated using unconditional logistic regression. There was a significant association of HB with kidney, bladder, or sex organ abnormalities (OR = 4.75; 95% CI: 1.74-13) which appeared to be specific to kidney/bladder defects (OR = 4.3; 95% CI: 1.2-15.3) but not those of sex organs (OR = 1.24; 95% CI: 0.37-4.1). Elevated but non-significant ORs were found for spina bifida or other spinal defects (OR = 2.12; 95% CI: 0.39-11.7), large or multiple birthmarks (OR = 1.33; 95% CI: 0.81-2.21). The results were validated through the Utah Population Database (UPDB), a statewide population-based registry linking birth certificates, medical records, and cancer diagnoses. In the UPDB, there were 29 cases and 290 population controls matched 10:1 on sex and birth year. Consistent with the COG findings, kidney/bladder defects were associated with hepatoblastoma. These results confirm the association of HB with kidney/bladder abnormalities.",24934283,Congenital abnormalities and hepatoblastoma: a report from the Children's Oncology Group (COG) and the Utah Population Database (UPDB).,0,1
"Despite modern approaches in molecular biology and genetics, we are still not able to identify the actual cause in more than 50% of all congenital defects. One-half of the unidentified cases is referred to as ""multifactorial"". Detailed prenatal investigation of the fetus can discover the presence of congenital abnormality, which can worsen the process of postnatal adaptation. Retrospective analysis of newborns admitted to the Neonatal Department of Intensive Medicine (NDIM) in 2012-2016 with the aim to analyze how the process of postnatal adaptation can be changed by the presence of congenital abnormalities of lip and palate. During a five-year period, 13 newborns were admitted to NDIM (2 premature; 11 term newborns). Chromosomal abnormality was confirmed in one patient (Down syndrome) and in one patient suspicion of Patau syndrome was found. Twelve newborns had complete cheilognathopalatoschisis. Two premature newborns and two term newborns had perinatal asphyxia. In this group of patients, 33% had respiratory insufficiency without the presence of congenital heart abnormality, 66% had congenital heart abnormality with respiratory insufficiency, and 2 patients had feeding problems. Only one patient had a positive family history. The diagnosis of complete cheilognathopalatoschisis was confirmed prenatally only in 9 patients. We confirmed that clinical consequences of congenital abnormalities of lip and palate depend on the nature, localization and range of abnormalities, as well as on the genetic background and accompanying congenital abnormalities. Prenatal confirmation of the presence of congenital abnormalities has an important influence on the postnatal management of a patient.",30147425,How can the process of postnatal adaptation be changed by the presence of congenital abnormalities of lip and palate.,0,1
"Zika virus (ZIKV) is a deadly flavivirus that has spread from Africa to Asia and European countries. The virus is associated with other viruses in the same genus or family, transmitted by the same mosquito species with known history of fatality. A sudden increase in the rate of infection from ZIKV has made it a global health concern, which necessitates close symptom monitoring, enhancing treatment options, and vaccine production.",27758685,Congenital Abnormalities: Consequence of Maternal Zika Virus Infection: A Narrative Review.,0,1
"To describe the prevalence of malformations found in fetuses with trisomy of chromosomes 13, 18 and 21 by identifying the most frequent within each condition.",26247254,"[Prevalence of congenital abnormalities identified in fetuses with 13, 18 and 21 chromosomal trisomy].",0,1
